iter	Passed	Remaining
149	304	1723
150	305	1715
151	305	1707
152	306	1699
153	307	1691
154	308	1683
155	309	1676
156	310	1669
157	312	1663
158	313	1657
159	314	1651
160	315	1644
161	316	1636
162	317	1629
163	318	1623
164	319	1616
165	320	1609
166	321	1602
167	322	1595
168	323	1589
169	324	1582
170	325	1576
171	326	1569
172	327	1563
173	328	1557
174	329	1551
175	330	1545
176	331	1539
177	332	1533
178	333	1527
179	334	1521
180	334	1513
181	335	1507
182	336	1502
183	337	1496
184	338	1490
185	339	1485
186	340	1479
187	341	1474
188	342	1468
189	343	1463
190	344	1458
191	345	1453
192	346	1448
193	347	1442
194	348	1437
195	349	1432
196	350	1427
197	351	1422
198	352	1417
199	353	1412
200	353	1407
201	354	1402
202	355	1397
203	356	1392
204	358	1390
205	360	1387
206	361	1384
207	362	1381
208	364	1378
209	365	1376
210	367	1374
211	368	1370
212	369	1365
213	370	1361
214	371	1356
215	372	1352
216	373	1347
217	374	1343
218	375	1338
219	376	1334
220	377	1330
221	378	1325
222	379	1321
223	380	1316
224	381	1312
225	382	1308
226	382	1304
227	383	1299
228	385	1296
229	386	1293
230	387	1291
231	388	1287
232	389	1283
233	390	1279
234	391	1275
235	392	1271
236	393	1267
237	394	1263
238	395	1259
239	396	1255
240	397	1251
241	398	1247
242	399	1244
243	400	1240
244	401	1237
245	402	1233
246	403	1229
247	404	1226
248	405	1222
249	406	1218
250	407	1215
251	408	1211
252	409	1207
253	410	1204
254	410	1200
255	411	1197
256	413	1194
257	413	1190
258	414	1187
259	415	1183
260	416	1180
261	417	1176
262	418	1173
263	419	1170
264	420	1166
265	421	1163
266	422	1160
267	423	1156
268	424	1153
269	425	1150
270	426	1146
271	427	1143
272	428	1140
273	429	1137
274	430	1136
275	432	1133
276	433	1130
277	434	1127
278	435	1124
279	436	1121
280	437	1118
281	438	1115
282	439	1112
283	440	1109
284	441	1106
285	442	1103
286	442	1100
287	443	1097
288	444	1094
289	445	1091
290	446	1088
291	447	1085
292	449	1084
293	450	1081
294	451	1078
295	452	1075
296	453	1072
297	454	1069
298	455	1067
299	456	1064
300	457	1061
301	458	1058
302	459	1056
303	460	1053
304	461	1050
305	461	1047
306	462	1045
307	463	1042
308	464	1039
309	465	1036
310	466	1034
311	467	1031
312	468	1028
313	469	1026
314	470	1023
315	471	1020
316	472	1018
317	473	1015
318	474	1012
319	475	1010
320	476	1007
321	477	1005
322	478	1002
323	479	1000
324	480	997
325	481	995
326	482	992
327	483	990
328	484	987
329	485	985
330	486	982
331	487	980
332	488	977
333	489	975
334	490	973
335	491	971
336	493	970
337	495	970
338	496	967
339	497	965
340	498	962
341	499	960
342	500	958
343	501	955
344	502	953
345	503	950
346	504	948
347	505	946
348	506	943
349	506	941
350	507	938
351	508	936
352	509	934
353	510	931
354	511	929
355	512	927
356	513	924
357	514	922
358	515	920
359	516	918
360	517	915
361	518	913
362	519	911
363	520	909
364	521	906
365	522	904
366	523	902
367	524	900
368	525	897
369	526	895
370	527	893
371	528	891
372	529	889
373	530	887
374	531	885
375	532	883
376	533	882
377	534	880
378	536	878
379	537	876
380	538	874
381	539	872
382	540	871
383	542	869
384	543	867
385	544	865
386	545	864
387	546	862
388	548	860
389	549	859
390	550	857
391	551	855
392	552	853
393	553	851
394	555	850
395	556	848
396	557	846
397	558	844
398	559	843
399	561	841
400	562	839
401	563	838
402	564	836
403	566	835
404	567	833
405	568	831
406	569	830
407	570	828
408	572	826
409	573	825
410	574	823
411	575	821
412	577	820
413	578	818
414	579	817
415	580	815
416	582	813
417	583	812
418	584	810
419	585	808
420	587	807
421	588	805
422	589	804
423	590	802
424	592	801
425	593	799
426	594	797
427	595	796
428	596	794
429	598	792
430	599	790
431	600	789
432	601	787
433	602	786
434	603	784
435	605	782
436	606	781
437	607	779
438	608	777
439	609	776
440	611	774
441	612	773
442	613	771
443	614	769
444	616	768
445	617	766
446	618	765
447	619	763
448	621	762
449	622	760
450	623	759
451	624	757
452	625	755
453	627	754
454	628	752
455	629	751
456	631	749
457	632	748
458	633	747
459	635	745
460	636	744
461	637	742
462	639	741
463	640	739
464	641	738
465	643	736
466	644	735
467	645	734
468	646	732
469	648	730
470	649	729
471	650	727
472	651	726
473	652	724
474	653	722
475	655	721
476	656	720
